row_index,worlds,mean_probability,std_probability,min_probability,max_probability,probability_range,baseline_probability
3701,20,0.23499999999999996,0.0,0.235,0.235,0.0,0.235
3707,20,0.0,0.0,0.0,0.0,0.0,0.0
3717,20,0.0,0.0,0.0,0.0,0.0,0.0
3724,20,0.025,0.0,0.025,0.025,0.0,0.025
3725,20,0.11000000000000001,0.0,0.11,0.11,0.0,0.11
3731,20,0.06,0.0,0.06,0.06,0.0,0.06
3742,20,0.025,0.0,0.025,0.025,0.0,0.025
3746,20,0.01,0.0,0.01,0.01,0.0,0.01
3766,20,0.17,0.0,0.17,0.17,0.0,0.17
3767,20,0.04,0.0,0.04,0.04,0.0,0.04
3773,20,0.255,0.0,0.255,0.255,0.0,0.255
3799,20,0.32,0.0,0.32,0.32,0.0,0.32
3805,20,0.05,0.0,0.05,0.05,0.0,0.05
3812,20,0.005,0.0,0.005,0.005,0.0,0.005
3821,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
3833,20,0.0,0.0,0.0,0.0,0.0,0.0
3837,20,0.005,0.0,0.005,0.005,0.0,0.005
3840,20,0.375,0.0,0.375,0.375,0.0,0.375
3862,20,0.02,0.0,0.02,0.02,0.0,0.02
3870,20,0.085,0.0,0.085,0.085,0.0,0.085
3896,20,0.0,0.0,0.0,0.0,0.0,0.0
3925,20,0.6050738497292907,0.0,0.6050738497292907,0.6050738497292907,0.0,0.6050738497292907
3940,20,0.0,0.0,0.0,0.0,0.0,0.0
3941,20,0.01,0.0,0.01,0.01,0.0,0.01
3969,20,0.13,0.0,0.13,0.13,0.0,0.13
3972,20,0.065,0.0,0.065,0.065,0.0,0.065
3975,20,0.01,0.0,0.01,0.01,0.0,0.01
3976,20,0.015,0.0,0.015,0.015,0.0,0.015
3983,20,0.18,0.0,0.18,0.18,0.0,0.18
3984,20,0.01,0.0,0.01,0.01,0.0,0.01
3985,20,0.005,0.0,0.005,0.005,0.0,0.005
3989,20,0.03,0.0,0.03,0.03,0.0,0.03
4003,20,0.04,0.0,0.04,0.04,0.0,0.04
4015,20,0.065,0.0,0.065,0.065,0.0,0.065
4018,20,0.465,0.0,0.465,0.465,0.0,0.465
4025,20,0.52,0.0,0.52,0.52,0.0,0.52
4028,20,0.785,0.0,0.785,0.785,0.0,0.785
4031,20,0.835,0.0,0.835,0.835,0.0,0.835
4039,20,0.42000000000000004,0.0,0.42,0.42,0.0,0.42
4062,20,0.01,0.0,0.01,0.01,0.0,0.01
4064,20,0.03,0.0,0.03,0.03,0.0,0.03
4084,20,0.075,0.0,0.075,0.075,0.0,0.075
4092,20,0.05500000000000001,0.0,0.055,0.055,0.0,0.055
4102,20,0.11500000000000002,0.0,0.115,0.115,0.0,0.115
4112,20,0.43,0.0,0.43,0.43,0.0,0.43
4117,20,0.005,0.0,0.005,0.005,0.0,0.005
4123,20,0.02,0.0,0.02,0.02,0.0,0.02
4136,20,0.18,0.0,0.18,0.18,0.0,0.18
4145,20,0.39,0.0,0.39,0.39,0.0,0.39
4156,20,0.4600000000000001,0.0,0.46,0.46,0.0,0.46
4176,20,0.425,0.0,0.425,0.425,0.0,0.425
4216,20,0.23499999999999996,0.0,0.235,0.235,0.0,0.235
4228,20,0.4,0.0,0.4,0.4,0.0,0.4
4235,20,0.545,0.0,0.545,0.545,0.0,0.545
4244,20,0.24,0.0,0.24,0.24,0.0,0.24
4246,20,0.66,0.0,0.66,0.66,0.0,0.66
4269,20,0.285,0.0,0.285,0.285,0.0,0.285
4275,20,0.07,0.0,0.07,0.07,0.0,0.07
4277,20,0.05,0.0,0.05,0.05,0.0,0.05
4302,20,0.24,0.0,0.24,0.24,0.0,0.24
4313,20,0.485,0.0,0.485,0.485,0.0,0.485
4314,20,0.32,0.0,0.32,0.32,0.0,0.32
4315,20,0.225,0.0,0.225,0.225,0.0,0.225
4327,20,0.625,0.0,0.625,0.625,0.0,0.625
4334,20,0.285,0.0,0.285,0.285,0.0,0.285
4361,20,0.315,0.0,0.315,0.315,0.0,0.315
4374,20,0.72,0.0,0.72,0.72,0.0,0.72
4378,20,0.125,0.0,0.125,0.125,0.0,0.125
4382,20,0.425,0.0,0.425,0.425,0.0,0.425
4384,20,0.265,0.0,0.265,0.265,0.0,0.265
4397,20,0.095,0.0,0.095,0.095,0.0,0.095
4411,20,0.4,0.0,0.4,0.4,0.0,0.4
4417,20,0.275,0.0,0.275,0.275,0.0,0.275
4431,20,0.24500000000000002,0.0,0.245,0.245,0.0,0.245
4435,20,0.175,0.0,0.175,0.175,0.0,0.175
4455,20,0.555,0.0,0.555,0.555,0.0,0.555
4458,20,0.04,0.0,0.04,0.04,0.0,0.04
4460,20,0.365,0.0,0.365,0.365,0.0,0.365
4464,20,0.24,0.0,0.24,0.24,0.0,0.24
4470,20,0.07,0.0,0.07,0.07,0.0,0.07
4495,20,0.13,0.0,0.13,0.13,0.0,0.13
4498,20,0.615,0.0,0.615,0.615,0.0,0.615
4503,20,0.66,0.0,0.66,0.66,0.0,0.66
4507,20,0.08,0.0,0.08,0.08,0.0,0.08
4508,20,0.365,0.0,0.365,0.365,0.0,0.365
4511,20,0.24500000000000002,0.0,0.245,0.245,0.0,0.245
4514,20,0.1,0.0,0.1,0.1,0.0,0.1
4523,20,0.445,0.0,0.445,0.445,0.0,0.445
4528,20,0.73,0.0,0.73,0.73,0.0,0.73
4539,20,0.1,0.0,0.1,0.1,0.0,0.1
4540,20,0.78,0.0,0.78,0.78,0.0,0.78
4543,20,0.845,0.0,0.845,0.845,0.0,0.845
4563,20,0.39,0.0,0.39,0.39,0.0,0.39
4565,20,0.195,0.0,0.195,0.195,0.0,0.195
4572,20,0.67,0.0,0.67,0.67,0.0,0.67
4579,20,0.465,0.0,0.465,0.465,0.0,0.465
4584,20,0.645,0.0,0.645,0.645,0.0,0.645
