rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,brier_score,ece,scenario,group_feature,group_value
34,0.3235294117647059,0.7941176470588235,0.4074074074074074,1.0,0.5789473684210527,0.6956521739130435,0.0,0.6982054309327037,0.758893280632411,0.18310063241274938,0.20035119070614818,sample_bias_underrepresent_minority,project_key,SVN
750,0.23333333333333334,0.31866666666666665,0.4476987447698745,0.6114285714285714,0.5169082125603864,0.22956521739130434,0.38857142857142857,0.5123469802717989,0.7629614906832298,0.15091338450924846,0.030064113419584166,sample_bias_underrepresent_minority,project_key,UPM
84,0.39285714285714285,0.6071428571428571,0.6470588235294118,1.0,0.7857142857142857,0.35294117647058826,0.0,0.7565939651731316,0.8823529411764707,0.14965473427759954,0.15029459345564636,measurement_bias_description_loss,project_key,PLVS
92,0.21739130434782608,0.5543478260869565,0.2549019607843137,0.65,0.36619718309859156,0.5277777777777778,0.35,0.28223109584298695,0.5722222222222222,0.1784822715170768,0.06372449500443628,measurement_bias_description_loss,project_key,REFAPP
82,0.2682926829268293,0.7804878048780488,0.328125,0.9545454545454546,0.4883720930232558,0.7166666666666667,0.045454545454545456,0.3926670385962809,0.6992424242424243,0.1835756794912565,0.07672417285262882,measurement_bias_description_loss,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6534726265365141,0.6846590909090909,0.21940986552047256,0.12916451906942206,measurement_bias_description_loss,project_key,SAL
25,0.48,0.96,0.5,1.0,0.6666666666666666,0.9230769230769231,0.0,0.6667773070153101,0.641025641025641,0.2253368985359112,0.20245317046397343,measurement_bias_description_loss,project_key,SCANNER
57,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.689143361789069,0.7416879795396419,0.21252368685020068,0.13439267169247007,measurement_bias_description_loss,project_key,SELENIUM
24,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.35,0.7125,0.1445560414780008,0.12476786032068544,measurement_bias_description_loss,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.18333333333333335,0.6956521739130436,0.07853996318591043,0.06511221617358282,measurement_bias_description_loss,project_key,SPEAKEASY
120,0.18333333333333332,0.23333333333333334,0.42857142857142855,0.5454545454545454,0.48,0.16326530612244897,0.45454545454545453,0.6035698127852291,0.8167903525046383,0.1179152807892423,0.08230426997967404,measurement_bias_description_loss,project_key,SPFE
455,0.23736263736263735,0.3516483516483517,0.38125,0.5648148148148148,0.4552238805970149,0.28530259365994237,0.4351851851851852,0.44954632828697705,0.7222088803500908,0.16102983317027617,0.024217928496401333,measurement_bias_description_loss,project_key,STRM
34,0.3235294117647059,0.7352941176470589,0.44,1.0,0.6111111111111112,0.6086956521739131,0.0,0.7387012987012987,0.7707509881422925,0.17945753354722965,0.184937636743606,measurement_bias_description_loss,project_key,SVN
750,0.23333333333333334,0.31466666666666665,0.4533898305084746,0.6114285714285714,0.5206812652068127,0.22434782608695653,0.38857142857142857,0.5186282393075357,0.7632298136645963,0.15096312089059286,0.03184589245181447,measurement_bias_description_loss,project_key,UPM
84,0.39285714285714285,0.5833333333333334,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.3333333333333333,0.030303030303030304,0.7535521829999303,0.8805704099821747,0.1495996378085382,0.1361805202544076,measurement_bias_priority_missing,project_key,PLVS
92,0.21739130434782608,0.5434782608695652,0.24,0.6,0.34285714285714286,0.5277777777777778,0.4,0.27916289015709705,0.5597222222222222,0.17884568162092512,0.07359304310092474,measurement_bias_priority_missing,project_key,REFAPP
82,0.2682926829268293,0.7317073170731707,0.35,0.9545454545454546,0.5121951219512195,0.65,0.045454545454545456,0.3982157172860644,0.7037878787878789,0.1822948986870664,0.08963475112417799,measurement_bias_priority_missing,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6463403023672967,0.6860795454545454,0.21931110989821398,0.10353664575731854,measurement_bias_priority_missing,project_key,SAL
25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6846815092945123,0.6602564102564102,0.22179550809337692,0.12144563576127038,measurement_bias_priority_missing,project_key,SCANNER
57,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6918710994542004,0.7404092071611253,0.2101006602255788,0.11222428512257268,measurement_bias_priority_missing,project_key,SELENIUM
24,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.34935897435897434,0.6875,0.14627659000248697,0.13209409253557045,measurement_bias_priority_missing,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.0790145845902411,0.07324981312117912,measurement_bias_priority_missing,project_key,SPEAKEASY
120,0.18333333333333332,0.24166666666666667,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.16326530612244897,0.4090909090909091,0.6026564950664252,0.8093692022263451,0.11760816253922558,0.08111406723915954,measurement_bias_priority_missing,project_key,SPFE
455,0.23736263736263735,0.34725274725274724,0.3924050632911392,0.5740740740740741,0.46616541353383456,0.276657060518732,0.42592592592592593,0.4433284772380107,0.7172990714056996,0.1618652806973551,0.027966354439299686,measurement_bias_priority_missing,project_key,STRM
34,0.3235294117647059,0.7647058823529411,0.4230769230769231,1.0,0.5945945945945946,0.6521739130434783,0.0,0.7046022817761949,0.766798418972332,0.17921876113779178,0.20601187836442897,measurement_bias_priority_missing,project_key,SVN
750,0.23333333333333334,0.32133333333333336,0.45228215767634855,0.6228571428571429,0.5240384615384616,0.22956521739130434,0.37714285714285717,0.5028363908118993,0.7598807453416149,0.15164265977581218,0.03858029329152628,measurement_bias_priority_missing,project_key,UPM
84,0.39285714285714285,0.5833333333333334,0.6530612244897959,0.9696969696969697,0.7804878048780488,0.3333333333333333,0.030303030303030304,0.7535521829999303,0.8805704099821747,0.1495996378085382,0.13618052025440758,historical_label_bias_minority,project_key,PLVS
92,0.21739130434782608,0.5434782608695652,0.24,0.6,0.34285714285714286,0.5277777777777778,0.4,0.27916289015709705,0.5597222222222222,0.17884568162092512,0.07359304310092471,historical_label_bias_minority,project_key,REFAPP
82,0.2682926829268293,0.7317073170731707,0.35,0.9545454545454546,0.5121951219512195,0.65,0.045454545454545456,0.3982157172860644,0.7037878787878789,0.1822948986870664,0.08963475112417799,historical_label_bias_minority,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.6463403023672967,0.6860795454545454,0.21931110989821398,0.10353664575731855,historical_label_bias_minority,project_key,SAL
25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6846815092945123,0.6602564102564102,0.22179550809337692,0.12144563576127035,historical_label_bias_minority,project_key,SCANNER
57,0.40350877192982454,1.0,0.40350877192982454,1.0,0.575,1.0,0.0,0.6918710994542004,0.7404092071611253,0.21010066022557886,0.11222428512257265,historical_label_bias_minority,project_key,SELENIUM
24,0.16666666666666666,0.625,0.26666666666666666,1.0,0.42105263157894735,0.55,0.0,0.34935897435897434,0.6875,0.14627659000248697,0.13209409253557047,historical_label_bias_minority,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.0790145845902411,0.07324981312117912,historical_label_bias_minority,project_key,SPEAKEASY
120,0.18333333333333332,0.24166666666666667,0.4482758620689655,0.5909090909090909,0.5098039215686274,0.16326530612244897,0.4090909090909091,0.6026564950664252,0.8093692022263451,0.11760816253922558,0.08111406723915951,historical_label_bias_minority,project_key,SPFE
455,0.23736263736263735,0.34725274725274724,0.3924050632911392,0.5740740740740741,0.46616541353383456,0.276657060518732,0.42592592592592593,0.4433284772380107,0.7172990714056996,0.1618652806973551,0.027966354439299686,historical_label_bias_minority,project_key,STRM
