model,group_feature,metric,groups_considered,min_value,max_value,absolute_gap,min_max_ratio,worst_group,best_group
hist_gradient_boosting,issuetype,roc_auc,6,0.6892307692307692,0.8152804642166345,0.12604969498586527,0.8453910028287251,New Feature,Story
hist_gradient_boosting,issuetype,pr_auc,6,0.10505896479285834,0.7315666230936804,0.626507658300822,0.1436081984557749,Sub-task,Story
hist_gradient_boosting,priority,precision,5,0.3548387096774194,1.0,0.6451612903225806,0.3548387096774194,Critical,Blocker
hist_gradient_boosting,priority,recall,5,0.4782608695652174,1.0,0.5217391304347826,0.4782608695652174,Critical,Trivial
hist_gradient_boosting,priority,f1,5,0.4074074074074074,0.8,0.39259259259259266,0.5092592592592592,Critical,Blocker
hist_gradient_boosting,priority,fpr,5,0.0,0.5925925925925926,0.5925925925925926,0.0,Blocker,Trivial
hist_gradient_boosting,priority,fnr,5,0.0,0.5217391304347826,0.5217391304347826,0.0,Trivial,Critical
hist_gradient_boosting,priority,positive_rate_predicted,5,0.08333333333333333,0.7317073170731707,0.6483739837398373,0.11388888888888889,Blocker,Trivial
hist_gradient_boosting,priority,brier_score,5,0.06702844608372296,0.22455414834021623,0.15752570225649326,0.2984956928169053,Blocker,Minor
hist_gradient_boosting,priority,ece,5,0.027486076064765625,0.24160056324053497,0.21411448717576934,0.11376660590563598,Major,Trivial
hist_gradient_boosting,priority,roc_auc,5,0.6800104657247513,0.9206349206349207,0.24062445491016937,0.7386320575975747,Minor,Trivial
hist_gradient_boosting,priority,pr_auc,5,0.42147464338721724,0.8179723502304148,0.3964977068431976,0.5152675921973303,Critical,Blocker
hist_gradient_boosting,project_key,precision,9,0.2765957446808511,0.75,0.4734042553191489,0.3687943262411348,REFAPP,PLVS
hist_gradient_boosting,project_key,recall,9,0.5648148148148148,0.9130434782608695,0.34822866344605474,0.6186067019400353,STRM,SELENIUM
hist_gradient_boosting,project_key,f1,9,0.3880597014925373,0.821917808219178,0.4338581067266407,0.4721393034825871,REFAPP,PLVS
hist_gradient_boosting,project_key,fpr,9,0.19387755102040816,0.75,0.5561224489795918,0.2585034013605442,SPFE,SAL
hist_gradient_boosting,project_key,fnr,9,0.08695652173913043,0.4351851851851852,0.34822866344605474,0.1998149861239593,SELENIUM,STRM
hist_gradient_boosting,project_key,positive_rate_predicted,9,0.275,0.8148148148148148,0.5398148148148147,0.3375,SPFE,SAL
hist_gradient_boosting,project_key,brier_score,9,0.11943809177031514,0.227282088516027,0.10784399674571185,0.5255059584772025,SPFE,SAL
hist_gradient_boosting,project_key,ece,9,0.04117081645351324,0.15263992576458973,0.1114691093110765,0.2697250817391597,UPM,SVN
hist_gradient_boosting,project_key,roc_auc,9,0.5614583333333334,0.910873440285205,0.3494151069518716,0.6163955479452056,REFAPP,PLVS
hist_gradient_boosting,project_key,pr_auc,9,0.2931986121336176,0.8400202353344781,0.5468216232008605,0.34903755862127794,REFAPP,PLVS
hist_gradient_boosting,status,precision,2,0.4287833827893175,0.45,0.02121661721068252,0.9528519617540389,Closed,Resolved
hist_gradient_boosting,status,recall,2,0.672093023255814,0.7105263157894737,0.03843329253365968,0.9459086993970716,Closed,Resolved
hist_gradient_boosting,status,f1,2,0.5235507246376812,0.5510204081632653,0.0274696835255841,0.9501476113794955,Closed,Resolved
hist_gradient_boosting,status,fpr,2,0.28205128205128205,0.3045886075949367,0.022537325543654674,0.9260073260073259,Resolved,Closed
hist_gradient_boosting,status,fnr,2,0.2894736842105263,0.32790697674418606,0.038433292533659735,0.8827920865994774,Resolved,Closed
hist_gradient_boosting,status,positive_rate_predicted,2,0.3870967741935484,0.39787485242030696,0.01077807822675858,0.972910883507227,Resolved,Closed
hist_gradient_boosting,status,brier_score,2,0.15256375568982725,0.15947924880611178,0.006915493116284532,0.9566370347988528,Resolved,Closed
hist_gradient_boosting,status,ece,2,0.029864676163837832,0.0674137244825064,0.03754904831866857,0.4430058774098381,Closed,Resolved
hist_gradient_boosting,status,roc_auc,2,0.7514792463938769,0.7771030139451193,0.025623767551242405,0.967026549773423,Closed,Resolved
hist_gradient_boosting,status,pr_auc,2,0.5107150065924027,0.5191896872894848,0.008474680697082126,0.9836771012511331,Resolved,Closed
logistic_regression,created_month,precision,12,0.27586206896551724,0.5529411764705883,0.27707910750507103,0.4988994864269992,2,7
logistic_regression,created_month,recall,12,0.42105263157894735,0.7441860465116279,0.32313341493268055,0.5657894736842105,2,11
logistic_regression,created_month,f1,12,0.3333333333333333,0.6266666666666667,0.2933333333333334,0.5319148936170213,2,7
logistic_regression,created_month,fpr,12,0.24,0.3888888888888889,0.1488888888888889,0.6171428571428571,5,8
logistic_regression,created_month,fnr,12,0.2558139534883721,0.5789473684210527,0.32313341493268055,0.4418604651162791,11,2
logistic_regression,created_month,positive_rate_predicted,12,0.30939226519337015,0.4796747967479675,0.17028253155459733,0.6450042138777039,3,10
logistic_regression,created_month,brier_score,12,0.13852797281469606,0.21096263363325632,0.07243466081856026,0.6566469636301431,3,7
logistic_regression,created_month,ece,12,0.037177733848596586,0.11264689188732843,0.07546915803873185,0.33003781307861085,12,7
logistic_regression,created_month,roc_auc,12,0.6105889724310777,0.7572649572649572,0.14667598483387956,0.8063082367317843,2,5
logistic_regression,created_month,pr_auc,12,0.30806150033337376,0.619714336346151,0.31165283601277727,0.49710242649816844,2,7
logistic_regression,created_year,precision,11,0.1,0.6060606060606061,0.5060606060606061,0.165,2021,2009
logistic_regression,created_year,recall,11,0.2222222222222222,0.8571428571428571,0.6349206349206349,0.25925925925925924,2021,2016
logistic_regression,created_year,f1,11,0.13793103448275862,0.6557377049180327,0.5178066704352742,0.2103448275862069,2021,2009
logistic_regression,created_year,fpr,11,0.20689655172413793,0.603448275862069,0.39655172413793105,0.34285714285714286,2012,2014
logistic_regression,created_year,fnr,11,0.14285714285714285,0.7777777777777778,0.6349206349206349,0.18367346938775508,2016,2021
logistic_regression,created_year,positive_rate_predicted,11,0.2247191011235955,0.6818181818181818,0.45709908069458627,0.32958801498127344,2021,2014
logistic_regression,created_year,brier_score,11,0.10632589816406848,0.2378726419955137,0.1315467438314452,0.4469866617367196,2021,2020
logistic_regression,created_year,ece,11,0.030492379469945503,0.21358694991437993,0.18309457044443442,0.14276330778715135,2008,2020
logistic_regression,created_year,roc_auc,11,0.4583333333333333,0.7875615763546797,0.3292282430213464,0.5819650768829815,2021,2009
logistic_regression,created_year,pr_auc,11,0.11728817811334151,0.6149886726274334,0.4977004945140919,0.1907159974382096,2021,2009
logistic_regression,has_description,precision,2,0.32075471698113206,0.40807799442896936,0.0873232774478373,0.7860132655032519,0,1
logistic_regression,has_description,recall,2,0.2361111111111111,0.7380352644836272,0.5019241533725161,0.3199184679560106,0,1
logistic_regression,has_description,f1,2,0.272,0.525560538116592,0.25356053811659196,0.5175426621160409,0,1
logistic_regression,has_description,fpr,2,0.08571428571428572,0.43103448275862066,0.3453201970443349,0.19885714285714287,0,1
logistic_regression,has_description,fnr,2,0.2619647355163728,0.7638888888888888,0.5019241533725161,0.342935653766888,1,0
logistic_regression,has_description,positive_rate_predicted,2,0.10772357723577236,0.5191612436731743,0.4114376664374019,0.20749541409063116,0,1
logistic_regression,has_description,brier_score,2,0.11753061754526446,0.18817161798650892,0.07064100044124445,0.6245926925796583,0,1
logistic_regression,has_description,ece,2,0.012305413128708613,0.029175301547270327,0.016869888418561713,0.4217750109204928,0,1
logistic_regression,has_description,roc_auc,2,0.6858300264550264,0.6943250851978071,0.00849505874278067,0.9877650124935923,0,1
logistic_regression,has_description,pr_auc,2,0.2853172361744449,0.45157172568068193,0.16625448950623706,0.6318314897691361,0,1
logistic_regression,issuetype,precision,6,0.0,0.475,0.475,0.0,Sub-task,Story
logistic_regression,issuetype,recall,6,0.0,0.9047619047619048,0.9047619047619048,0.0,Sub-task,Improvement
logistic_regression,issuetype,f1,6,0.0,0.6129032258064516,0.6129032258064516,0.0,Sub-task,Story
logistic_regression,issuetype,fpr,6,0.006097560975609756,0.6869158878504673,0.6808183268748575,0.008876721420275428,Sub-task,Improvement
logistic_regression,issuetype,fnr,6,0.09523809523809523,1.0,0.9047619047619048,0.09523809523809523,Improvement,Sub-task
logistic_regression,issuetype,positive_rate_predicted,6,0.005780346820809248,0.7676470588235295,0.7618667120027202,0.007529953712931588,Sub-task,Improvement
logistic_regression,issuetype,brier_score,6,0.052508698771041355,0.22950992692352282,0.17700122815248145,0.22878617702901485,Sub-task,New Feature
logistic_regression,issuetype,ece,6,0.025346431663659193,0.10757561749451006,0.08222918583085087,0.23561502368278486,Bug,New Feature
logistic_regression,issuetype,roc_auc,6,0.5731707317073171,0.8017408123791102,0.22857008067179307,0.7149077642766779,Sub-task,Story
logistic_regression,issuetype,pr_auc,6,0.06974608642066923,0.684876296267641,0.6151302098469718,0.10183749503488926,Sub-task,Story
logistic_regression,priority,precision,5,0.3715953307392996,1.0,0.6284046692607004,0.3715953307392996,Major,Blocker
logistic_regression,priority,recall,5,0.2608695652173913,0.9326923076923077,0.6718227424749164,0.27969520394441955,Critical,Minor
logistic_regression,priority,f1,5,0.32432432432432434,0.6666666666666666,0.3423423423423423,0.4864864864864865,Critical,Blocker
logistic_regression,priority,fpr,5,0.0,0.8027210884353742,0.8027210884353742,0.0,Blocker,Minor
logistic_regression,priority,fnr,5,0.0673076923076923,0.7391304347826086,0.6718227424749164,0.09106334841628959,Minor,Critical
logistic_regression,priority,positive_rate_predicted,5,0.0625,0.8565737051792829,0.7940737051792829,0.07296511627906976,Blocker,Minor
logistic_regression,priority,brier_score,5,0.08421778684528891,0.232455747039065,0.14823796019377608,0.3622959979179857,Blocker,Minor
logistic_regression,priority,ece,5,0.01767802256755569,0.25153906571806617,0.23386104315051048,0.07027943161468939,Critical,Trivial
logistic_regression,priority,roc_auc,5,0.6342883307169022,0.8928571428571429,0.25856881214024074,0.7104029304029303,Minor,Blocker
logistic_regression,priority,pr_auc,5,0.3119745678753055,0.7707692307692307,0.4587946628939252,0.4047574233911149,Critical,Blocker
logistic_regression,project_key,precision,9,0.24,0.5769230769230769,0.3369230769230769,0.41600000000000004,SPFE,PLVS
logistic_regression,project_key,recall,9,0.2727272727272727,1.0,0.7272727272727273,0.2727272727272727,SPFE,SAL
logistic_regression,project_key,f1,9,0.2553191489361702,0.7058823529411765,0.4505632040050063,0.36170212765957444,SPFE,PLVS
logistic_regression,project_key,fpr,9,0.19387755102040816,0.84375,0.6498724489795918,0.22978080120937264,SPFE,SAL
logistic_regression,project_key,fnr,9,0.0,0.7272727272727273,0.7272727272727273,0.0,SAL,SPFE
logistic_regression,project_key,positive_rate_predicted,9,0.20833333333333334,0.9074074074074074,0.6990740740740741,0.22959183673469388,SPFE,SAL
logistic_regression,project_key,brier_score,9,0.1475019212010626,0.24811191677738179,0.1006099955763192,0.5944975280385608,SPFE,SAL
logistic_regression,project_key,ece,9,0.02076062356875094,0.2235522268639192,0.20279160329516827,0.09286699515361282,STRM,SELENIUM
logistic_regression,project_key,roc_auc,9,0.5177865612648221,0.8366013071895424,0.31881474592472026,0.6189167490118578,SVN,PLVS
logistic_regression,project_key,pr_auc,9,0.25452445290347353,0.7177893294570464,0.4632648765535729,0.35459492424609057,REFAPP,PLVS
logistic_regression,status,precision,2,0.3888888888888889,0.4044943820224719,0.015605493133583004,0.9614197530864198,Resolved,Closed
logistic_regression,status,recall,2,0.5526315789473685,0.6697674418604651,0.11713586291309663,0.8251096491228072,Resolved,Closed
logistic_regression,status,f1,2,0.45652173913043476,0.5043782837127846,0.047856544582349836,0.9051177536231884,Resolved,Closed
logistic_regression,status,fpr,2,0.28205128205128205,0.33544303797468356,0.05339175592340151,0.8408321238509917,Resolved,Closed
logistic_regression,status,fnr,2,0.3302325581395349,0.4473684210526316,0.11713586291309669,0.7381668946648426,Closed,Resolved
logistic_regression,status,positive_rate_predicted,2,0.34838709677419355,0.4203069657615112,0.07191986898731767,0.8288872779992751,Resolved,Closed
logistic_regression,status,brier_score,2,0.17131920496348854,0.17191774980191352,0.0005985448384249747,0.9965184232627834,Closed,Resolved
logistic_regression,status,ece,2,0.02093950064313204,0.07725750010124934,0.056317999458117295,0.2710351825478421,Closed,Resolved
logistic_regression,status,roc_auc,2,0.6918578497525866,0.7112387768619369,0.019380927109350354,0.9727504633607561,Resolved,Closed
logistic_regression,status,pr_auc,2,0.4108410899342917,0.43659638356869046,0.025755293634398768,0.9410089166935424,Resolved,Closed
logistic_regression_balanced,created_month,precision,12,0.21323529411764705,0.391304347826087,0.17806905370843992,0.5449346405228758,3,7
logistic_regression_balanced,created_month,recall,12,0.8787878787878788,1.0,0.12121212121212122,0.8787878787878788,3,11
logistic_regression_balanced,created_month,f1,12,0.3431952662721893,0.5575221238938053,0.21432685762161596,0.6155724617263079,3,7
logistic_regression_balanced,created_month,fpr,12,0.722972972972973,0.9101123595505618,0.18713938657758877,0.7943777110443778,3,10
logistic_regression_balanced,created_month,fnr,12,0.0,0.12121212121212122,0.12121212121212122,0.0,11,3
logistic_regression_balanced,created_month,positive_rate_predicted,12,0.7513812154696132,0.926829268292683,0.17544805282306974,0.8107007851119511,3,10
logistic_regression_balanced,created_month,brier_score,12,0.19914318896181576,0.2340417438384775,0.03489855487666174,0.8508874771470394,3,10
logistic_regression_balanced,created_month,ece,12,0.11484641213340015,0.2627067744902458,0.1478603623568457,0.4371657805789258,7,6
logistic_regression_balanced,created_month,roc_auc,12,0.6191520467836258,0.7572649572649572,0.13811291048133145,0.8176161340144946,2,5
logistic_regression_balanced,created_month,pr_auc,12,0.3080243789852229,0.6099746800281749,0.301950301042952,0.5049789590790804,2,7
logistic_regression_balanced,created_year,precision,11,0.10526315789473684,0.38461538461538464,0.2793522267206478,0.27368421052631575,2021,2020
logistic_regression_balanced,created_year,recall,11,0.8888888888888888,1.0,0.11111111111111116,0.8888888888888888,2021,2008
logistic_regression_balanced,created_year,f1,11,0.18823529411764706,0.5405405405405406,0.3523052464228935,0.34823529411764703,2021,2020
logistic_regression_balanced,created_year,fpr,11,0.7272727272727273,0.9827586206896551,0.25548589341692785,0.7400318979266348,2020,2014
logistic_regression_balanced,created_year,fnr,11,0.0,0.1111111111111111,0.1111111111111111,0.0,2008,2021
logistic_regression_balanced,created_year,positive_rate_predicted,11,0.7816091954022989,0.9772727272727273,0.1956635318704284,0.7997861534349104,2015,2014
logistic_regression_balanced,created_year,brier_score,11,0.19189384654879252,0.2936495007055393,0.10175565415674678,0.6534792195720995,2021,2015
logistic_regression_balanced,created_year,ece,11,0.11434559827827398,0.3045880622834841,0.19024246400521014,0.37541063632313676,2012,2016
logistic_regression_balanced,created_year,roc_auc,11,0.46527777777777773,0.7875615763546797,0.322283798576902,0.5907827295630267,2021,2009
logistic_regression_balanced,created_year,pr_auc,11,0.1182765373380923,0.6114475390768236,0.4931710017387313,0.19343693412630086,2021,2009
logistic_regression_balanced,has_description,precision,2,0.190625,0.30256012412723043,0.11193512412723045,0.630040064102564,0,1
logistic_regression_balanced,has_description,recall,2,0.8472222222222222,0.982367758186398,0.13514553596417578,0.8624287749287749,0,1
logistic_regression_balanced,has_description,f1,2,0.3112244897959184,0.4626334519572954,0.151408962161377,0.6727237048665621,0,1
logistic_regression_balanced,has_description,fpr,2,0.6166666666666667,0.9117647058823529,0.2950980392156862,0.6763440860215054,0,1
logistic_regression_balanced,has_description,fnr,2,0.017632241813602016,0.1527777777777778,0.13514553596417578,0.115411037325395,1,0
logistic_regression_balanced,has_description,positive_rate_predicted,2,0.6504065040650406,0.9320318148951554,0.2816253108301148,0.6978372343847566,0,1
logistic_regression_balanced,has_description,brier_score,2,0.15395106060355335,0.23741076586471369,0.08345970526116034,0.6484586326269675,0,1
logistic_regression_balanced,has_description,ece,2,0.17872519335117107,0.2222978957450628,0.043572702393891743,0.8039895868206414,0,1
logistic_regression_balanced,has_description,roc_auc,2,0.6881448412698412,0.6942075709811415,0.006062729711300285,0.9912666903031154,0,1
logistic_regression_balanced,has_description,pr_auc,2,0.2801797788827278,0.44866116793050576,0.16848138904777793,0.6244796717645187,0,1
logistic_regression_balanced,issuetype,precision,6,0.0625,0.38650306748466257,0.32400306748466257,0.16170634920634921,Sub-task,Improvement
logistic_regression_balanced,issuetype,recall,6,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,Sub-task,Improvement
logistic_regression_balanced,issuetype,f1,6,0.1095890410958904,0.5575221238938053,0.4479330827979149,0.19656447053707327,Sub-task,Improvement
logistic_regression_balanced,issuetype,fpr,6,0.36585365853658536,0.9787234042553191,0.6128697457187338,0.3738069989395546,Sub-task,Story
logistic_regression_balanced,issuetype,fnr,6,0.0,0.5555555555555556,0.5555555555555556,0.0,Improvement,Sub-task
logistic_regression_balanced,issuetype,positive_rate_predicted,6,0.3699421965317919,0.9855072463768116,0.6155650498450198,0.37538252295137703,Sub-task,Story
logistic_regression_balanced,issuetype,brier_score,6,0.08792321525159515,0.3015730638942551,0.21364984864265996,0.2915486353994299,Sub-task,New Feature
logistic_regression_balanced,issuetype,ece,6,0.17716729033215015,0.2703954117933146,0.09322812146116446,0.6552155939227757,Sub-task,New Feature
logistic_regression_balanced,issuetype,roc_auc,6,0.5575880758807588,0.8181818181818181,0.26059374230105936,0.6814965371875941,Sub-task,Story
logistic_regression_balanced,issuetype,pr_auc,6,0.06600384026903464,0.691933563228874,0.6259297229598394,0.09539043020406605,Sub-task,Story
logistic_regression_balanced,priority,precision,5,0.18018018018018017,0.5714285714285714,0.3912483912483912,0.3153153153153153,Critical,Blocker
logistic_regression_balanced,priority,recall,5,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,Blocker,Minor
logistic_regression_balanced,priority,f1,5,0.29850746268656714,0.6153846153846154,0.3168771526980483,0.4850746268656716,Critical,Blocker
logistic_regression_balanced,priority,fpr,5,0.07142857142857142,1.0,0.9285714285714286,0.07142857142857142,Blocker,Trivial
logistic_regression_balanced,priority,fnr,5,0.0,0.3333333333333333,0.3333333333333333,0.0,Minor,Blocker
logistic_regression_balanced,priority,positive_rate_predicted,5,0.14583333333333334,1.0,0.8541666666666666,0.14583333333333334,Blocker,Trivial
logistic_regression_balanced,priority,brier_score,5,0.07520592239805411,0.28261572160944454,0.2074097992113904,0.26610664817148255,Blocker,Minor
logistic_regression_balanced,priority,ece,5,0.15175450354210773,0.2966121104771931,0.14485760693508537,0.5116261210574419,Blocker,Trivial
logistic_regression_balanced,priority,roc_auc,5,0.6315410779696495,0.8928571428571429,0.26131606488749337,0.7073260073260075,Minor,Blocker
