rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
174,0.27586206896551724,0.4425287356321839,34,83,43,14,0.44155844155844154,0.7083333333333334,0.544,0.6587301587301587,0.3412698412698413,0.2916666666666667,0.4950985309660658,0.7437169312169312,0.1738282838528665,0.06037304326635044,logistic_regression,0.25,created_month,4
189,0.20634920634920634,0.3333333333333333,27,114,36,12,0.42857142857142855,0.6923076923076923,0.5294117647058824,0.76,0.24,0.3076923076923077,0.4120260631760955,0.7572649572649572,0.1491200524656237,0.09398999045334584,logistic_regression,0.25,created_month,5
118,0.2288135593220339,0.423728813559322,18,59,32,9,0.36,0.6666666666666666,0.4675324675324675,0.6483516483516484,0.3516483516483517,0.3333333333333333,0.425763811489033,0.7098087098087098,0.16093427215900277,0.08363284619889808,logistic_regression,0.25,created_month,6
179,0.36312849162011174,0.4748603351955307,47,76,38,18,0.5529411764705883,0.7230769230769231,0.6266666666666667,0.6666666666666666,0.3333333333333333,0.27692307692307694,0.619714336346151,0.730634278002699,0.21096263363325632,0.11264689188732843,logistic_regression,0.25,created_month,7
162,0.2222222222222222,0.4444444444444444,23,77,49,13,0.3194444444444444,0.6388888888888888,0.42592592592592593,0.6111111111111112,0.3888888888888889,0.3611111111111111,0.3691811037909881,0.6827601410934744,0.16423365304168908,0.05134427766085877,logistic_regression,0.25,created_month,8
145,0.2206896551724138,0.41379310344827586,20,73,40,12,0.3333333333333333,0.625,0.43478260869565216,0.6460176991150443,0.35398230088495575,0.375,0.4318892506770855,0.6883296460176992,0.15869165099212837,0.057639782362394976,logistic_regression,0.25,created_month,9
84,0.39285714285714285,0.8690476190476191,33,11,40,0,0.4520547945205479,1.0,0.6226415094339622,0.21568627450980393,0.7843137254901961,0.0,0.7151665388077346,0.8354129530600118,0.1916936920409413,0.17395989749294793,logistic_regression_balanced,0.25,project_key,PLVS
92,0.21739130434782608,0.9891304347826086,20,1,71,0,0.21978021978021978,1.0,0.36036036036036034,0.013888888888888888,0.9861111111111112,0.0,0.2546891152546741,0.5520833333333333,0.2915169086987025,0.3285879650745187,logistic_regression_balanced,0.25,project_key,REFAPP
82,0.2682926829268293,0.9634146341463414,22,3,57,0,0.27848101265822783,1.0,0.43564356435643564,0.05,0.95,0.0,0.36238503692236157,0.6325757575757576,0.28952857710334284,0.31402826474172213,logistic_regression_balanced,0.25,project_key,REST
54,0.4074074074074074,1.0,22,0,32,0,0.4074074074074074,1.0,0.5789473684210527,0.0,1.0,0.0,0.4272630052098561,0.5553977272727273,0.31302636515737126,0.2707654832838085,logistic_regression_balanced,0.25,project_key,SAL
