scope,group_feature,group_value,metric,rows,mean,median,p75,p90
group,created_year,2011,risk_scope_proxy_raw,2435,0.0,0.0,0.0,0.0
group,created_year,2012,risk_time_proxy,1612,0.3076923076923077,0.0,1.0,1.0
group,created_year,2012,risk_effort_proxy_raw,1612,1185.1239745676883,269.6881156365741,712.8623452690972,1615.1572242835655
group,created_year,2012,risk_scope_proxy_raw,1612,0.0,0.0,0.0,0.0
group,created_year,2013,risk_time_proxy,839,0.31210191082802546,0.0,1.0,1.0
group,created_year,2013,risk_effort_proxy_raw,839,1088.9385243235306,380.05453982638886,1004.8695366087964,1683.320331379631
group,created_year,2013,risk_scope_proxy_raw,839,0.0,0.0,0.0,0.0
group,created_year,2014,risk_time_proxy,503,0.3893805309734513,0.0,1.0,1.0
group,created_year,2014,risk_effort_proxy_raw,503,1043.5594580148968,418.8606370949074,830.9283342418981,1826.3641926342593
group,created_year,2014,risk_scope_proxy_raw,503,0.0,0.0,0.0,0.0
group,created_year,2015,risk_time_proxy,485,0.2937219730941704,0.0,1.0,1.0
group,created_year,2015,risk_effort_proxy_raw,485,1207.3133365190433,413.2253454513889,1013.9122363194444,2553.47568794676
group,created_year,2015,risk_scope_proxy_raw,485,0.0,0.0,0.0,0.0
group,created_year,2016,risk_time_proxy,350,0.21019108280254778,0.0,0.0,1.0
group,created_year,2016,risk_effort_proxy_raw,350,1235.4616087362433,456.00182021412036,1095.8769803472223,2680.7526040833354
group,created_year,2016,risk_scope_proxy_raw,350,0.0,0.0,0.0,0.0
group,created_year,2017,risk_time_proxy,107,0.3258426966292135,0.0,1.0,1.0
group,created_year,2017,risk_effort_proxy_raw,107,1365.8365265788336,600.5960782291667,1436.3165991377314,2160.5715307361115
group,created_year,2017,risk_scope_proxy_raw,107,0.0,0.0,0.0,0.0
group,created_year,2018,risk_time_proxy,82,0.47761194029850745,0.0,1.0,1.0
group,created_year,2018,risk_effort_proxy_raw,82,1681.0357462646793,731.8752677199075,1466.4809952893518,2938.6835328981506
