model,kpi,value,source_table,status,threshold,scenario,degradation_type,degradation_rate,split_type,strategy,metric,subgroup_feature
random_forest,positive_rate_predicted,0.2778666666666666,threshold_metrics,red,0.35,,,,,,,
random_forest,positive_rate_predicted,0.2250666666666666,threshold_metrics,red,0.4,,,,,,,
random_forest,positive_rate_predicted,0.1712,threshold_metrics,red,0.45,,,,,,,
random_forest,positive_rate_predicted,0.1322666666666666,threshold_metrics,red,0.5,,,,,,,
random_forest,positive_rate_predicted,0.0949333333333333,threshold_metrics,red,0.55,,,,,,,
random_forest,positive_rate_predicted,0.0714666666666666,threshold_metrics,red,0.6,,,,,,,
random_forest,positive_rate_predicted,0.0474666666666666,threshold_metrics,red,0.65,,,,,,,
random_forest,positive_rate_predicted,0.0325333333333333,threshold_metrics,red,0.7,,,,,,,
random_forest,positive_rate_predicted,0.0213333333333333,threshold_metrics,red,0.75,,,,,,,
random_forest,positive_rate_predicted,0.0106666666666666,threshold_metrics,red,0.8,,,,,,,
random_forest,positive_rate_predicted,0.0032,threshold_metrics,red,0.85,,,,,,,
random_forest,positive_rate_predicted,0.0016,threshold_metrics,red,0.9,,,,,,,
logistic_regression,precision,0.2531030760928224,threshold_metrics,red,0.1,,,,,,,
logistic_regression,precision,0.2588495575221239,threshold_metrics,red,0.15,,,,,,,
logistic_regression,precision,0.2688486265341905,threshold_metrics,red,0.2,,,,,,,
logistic_regression,precision,0.2774708410067526,threshold_metrics,red,0.25,,,,,,,
logistic_regression,precision,0.2953784326858674,threshold_metrics,red,0.3,,,,,,,
logistic_regression,precision,0.3093632958801498,threshold_metrics,red,0.35,,,,,,,
logistic_regression,precision,0.3279109589041096,threshold_metrics,red,0.4,,,,,,,
logistic_regression,precision,0.3524672708962739,threshold_metrics,red,0.45,,,,,,,
logistic_regression,precision,0.3944374209860936,threshold_metrics,red,0.5,,,,,,,
logistic_regression,precision,0.4180064308681672,threshold_metrics,red,0.55,,,,,,,
logistic_regression,precision,0.4326710816777042,threshold_metrics,red,0.6,,,,,,,
logistic_regression,precision,0.458966565349544,threshold_metrics,red,0.65,,,,,,,
logistic_regression,precision,0.4722222222222222,threshold_metrics,red,0.7,,,,,,,
logistic_regression,precision,0.4881889763779528,threshold_metrics,red,0.75,,,,,,,
logistic_regression,precision,0.4923076923076923,threshold_metrics,red,0.8,,,,,,,
logistic_regression,precision,0.4782608695652174,threshold_metrics,red,0.85,,,,,,,
logistic_regression,precision,0.2,threshold_metrics,red,0.9,,,,,,,
random_forest,precision,0.3296178343949044,threshold_metrics,red,0.1,,,,,,,
random_forest,precision,0.3556797020484171,threshold_metrics,red,0.15,,,,,,,
random_forest,precision,0.3890086206896552,threshold_metrics,red,0.2,,,,,,,
random_forest,precision,0.4180645161290323,threshold_metrics,red,0.25,,,,,,,
random_forest,precision,0.4485981308411215,threshold_metrics,red,0.3,,,,,,,
random_forest,precision,0.472168905950096,threshold_metrics,red,0.35,,,,,,,
random_forest,precision,0.495260663507109,threshold_metrics,red,0.4,,,,,,,
random_forest,precision,0.5295950155763239,threshold_metrics,amber,0.45,,,,,,,
random_forest,precision,0.5483870967741935,threshold_metrics,amber,0.5,,,,,,,
random_forest,precision,0.5617977528089888,threshold_metrics,amber,0.55,,,,,,,
random_forest,precision,0.6044776119402985,threshold_metrics,amber,0.6,,,,,,,
random_forest,precision,0.6966292134831461,threshold_metrics,amber,0.65,,,,,,,
random_forest,precision,0.7540983606557377,threshold_metrics,green,0.7,,,,,,,
random_forest,precision,0.8,threshold_metrics,green,0.75,,,,,,,
random_forest,precision,0.8,threshold_metrics,green,0.8,,,,,,,
random_forest,precision,0.8333333333333334,threshold_metrics,green,0.85,,,,,,,
random_forest,precision,0.6666666666666666,threshold_metrics,amber,0.9,,,,,,,
logistic_regression,recall,1.0,threshold_metrics,green,0.1,,,,,,,
logistic_regression,recall,0.997867803837953,threshold_metrics,green,0.15,,,,,,,
logistic_regression,recall,0.9808102345415778,threshold_metrics,green,0.2,,,,,,,
logistic_regression,recall,0.9637526652452024,threshold_metrics,green,0.25,,,,,,,
logistic_regression,recall,0.9402985074626866,threshold_metrics,green,0.3,,,,,,,
logistic_regression,recall,0.8805970149253731,threshold_metrics,green,0.35,,,,,,,
logistic_regression,recall,0.8166311300639659,threshold_metrics,green,0.4,,,,,,,
logistic_regression,recall,0.746268656716418,threshold_metrics,amber,0.45,,,,,,,
logistic_regression,recall,0.6652452025586354,threshold_metrics,amber,0.5,,,,,,,
logistic_regression,recall,0.5543710021321961,threshold_metrics,amber,0.55,,,,,,,
logistic_regression,recall,0.417910447761194,threshold_metrics,red,0.6,,,,,,,
logistic_regression,recall,0.3219616204690831,threshold_metrics,red,0.65,,,,,,,
logistic_regression,recall,0.2174840085287846,threshold_metrics,red,0.7,,,,,,,
logistic_regression,recall,0.1321961620469083,threshold_metrics,red,0.75,,,,,,,
logistic_regression,recall,0.068230277185501,threshold_metrics,red,0.8,,,,,,,
logistic_regression,recall,0.0234541577825159,threshold_metrics,red,0.85,,,,,,,
logistic_regression,recall,0.0021321961620469,threshold_metrics,red,0.9,,,,,,,
random_forest,recall,0.8827292110874201,threshold_metrics,green,0.1,,,,,,,
random_forest,recall,0.814498933901919,threshold_metrics,green,0.15,,,,,,,
random_forest,recall,0.7697228144989339,threshold_metrics,green,0.2,,,,,,,
random_forest,recall,0.6908315565031983,threshold_metrics,amber,0.25,,,,,,,
random_forest,recall,0.6140724946695096,threshold_metrics,amber,0.3,,,,,,,
random_forest,recall,0.5245202558635395,threshold_metrics,amber,0.35,,,,,,,
random_forest,recall,0.4456289978678038,threshold_metrics,red,0.4,,,,,,,
random_forest,recall,0.3624733475479744,threshold_metrics,red,0.45,,,,,,,
random_forest,recall,0.2899786780383795,threshold_metrics,red,0.5,,,,,,,
random_forest,recall,0.2132196162046908,threshold_metrics,red,0.55,,,,,,,
random_forest,recall,0.1727078891257995,threshold_metrics,red,0.6,,,,,,,
random_forest,recall,0.1321961620469083,threshold_metrics,red,0.65,,,,,,,
random_forest,recall,0.0980810234541577,threshold_metrics,red,0.7,,,,,,,
random_forest,recall,0.068230277185501,threshold_metrics,red,0.75,,,,,,,
random_forest,recall,0.0341151385927505,threshold_metrics,red,0.8,,,,,,,
random_forest,recall,0.0106609808102345,threshold_metrics,red,0.85,,,,,,,
random_forest,recall,0.0042643923240938,threshold_metrics,red,0.9,,,,,,,
logistic_regression,f1,0.4039621016365202,threshold_metrics,red,0.1,,,,,,,
logistic_regression,f1,0.4110671936758893,threshold_metrics,red,0.15,,,,,,,
logistic_regression,f1,0.4220183486238532,threshold_metrics,red,0.2,,,,,,,
logistic_regression,f1,0.430886558627264,threshold_metrics,red,0.25,,,,,,,
logistic_regression,f1,0.4495412844036697,threshold_metrics,red,0.3,,,,,,,
logistic_regression,f1,0.4578713968957871,threshold_metrics,red,0.35,,,,,,,
logistic_regression,f1,0.4679291386682956,threshold_metrics,red,0.4,,,,,,,
logistic_regression,f1,0.478796169630643,threshold_metrics,red,0.45,,,,,,,
logistic_regression,f1,0.4952380952380952,threshold_metrics,red,0.5,,,,,,,
logistic_regression,f1,0.4766269477543538,threshold_metrics,red,0.55,,,,,,,
logistic_regression,f1,0.4251626898047722,threshold_metrics,red,0.6,,,,,,,
logistic_regression,f1,0.3784461152882205,threshold_metrics,red,0.65,,,,,,,
logistic_regression,f1,0.2978102189781021,threshold_metrics,red,0.7,,,,,,,
logistic_regression,f1,0.2080536912751678,threshold_metrics,red,0.75,,,,,,,
logistic_regression,f1,0.1198501872659176,threshold_metrics,red,0.8,,,,,,,
logistic_regression,f1,0.0447154471544715,threshold_metrics,red,0.85,,,,,,,
logistic_regression,f1,0.0042194092827004,threshold_metrics,red,0.9,,,,,,,
random_forest,f1,0.48,threshold_metrics,red,0.1,,,,,,,
random_forest,f1,0.4951393389500972,threshold_metrics,red,0.15,,,,,,,
random_forest,f1,0.5168217609162491,threshold_metrics,amber,0.2,,,,,,,
random_forest,f1,0.5209003215434084,threshold_metrics,amber,0.25,,,,,,,
random_forest,f1,0.5184518451845185,threshold_metrics,amber,0.3,,,,,,,
random_forest,f1,0.4969696969696969,threshold_metrics,red,0.35,,,,,,,
random_forest,f1,0.4691358024691358,threshold_metrics,red,0.4,,,,,,,
random_forest,f1,0.430379746835443,threshold_metrics,red,0.45,,,,,,,
random_forest,f1,0.3793584379358438,threshold_metrics,red,0.5,,,,,,,
random_forest,f1,0.3091190108191654,threshold_metrics,red,0.55,,,,,,,
random_forest,f1,0.2686567164179104,threshold_metrics,red,0.6,,,,,,,
random_forest,f1,0.2222222222222222,threshold_metrics,red,0.65,,,,,,,
random_forest,f1,0.1735849056603773,threshold_metrics,red,0.7,,,,,,,
random_forest,f1,0.1257367387033398,threshold_metrics,red,0.75,,,,,,,
random_forest,f1,0.065439672801636,threshold_metrics,red,0.8,,,,,,,
random_forest,f1,0.0210526315789473,threshold_metrics,red,0.85,,,,,,,
random_forest,f1,0.0084745762711864,threshold_metrics,red,0.9,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.1,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.15,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.2,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.25,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.3,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.35,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.4,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.45,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.5,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.55,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.6,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.65,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.7,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.75,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.8,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.85,,,,,,,
logistic_regression,pr_auc,0.4109374466717152,threshold_metrics,red,0.9,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.1,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.15,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.2,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.25,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.3,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.35,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.4,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.45,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.5,,,,,,,
random_forest,pr_auc,0.4943331886075637,threshold_metrics,red,0.55,,,,,,,
